Авторы,Идентификаторы авторов,Ссылка,Пристатейные ссылки
"Kotliarov I.","25626497500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455192541&partnerID=40&md5=0cd17a4a48afa1d6ba88666f57a7c42f","Agrawal, D., Lal, R., Contractual arrangements in franchising: An empirical investigation (1995) Journal of Marketing Research, 22, pp. 213-221; Azgaldov, G.G., Karpova, N.N., Compensation for the right to use intellectual property (2000) Moskovskiy Ocenshchik, 7, pp. 61-82; Blair, R.D., Francine, L., (2005) The Economics of Franchising, , New York; Chaudey, M., Fadairo, M., Contractual design and networks performance: Empirical evidence from franchising (2010) Applied Economics, 42, pp. 529-533; Dnes, A.W., Franchise contracts, opportunism and the quality of law (2009) Entrepreneurial Business Law Journal, 3 (2), pp. 257-274; Kabak, M.L., An economical mechanism of setting up the value of royalty rate in franchising relations (2006) Vestnik Tomskogo Gosudarstvennogo Universiteta, 292, pp. 131-135; Kaufmann, P.J., Lafontaine, F., Costs of control: The source of economic rents for McDonald's franchisees (1994) Journal of Law and Economics, 37, pp. 417-453; Kotliarov, I., Royalty rate structure in case of franchising (2011) Annals of Economics and Finance, 12 (1), pp. 139-156; Lafontaine, F., Agency theory and franchising: Some empirical results (1992) Rand Journal of Economics, 23, pp. 263-283; Lafontaine, F., Contractual arrangements as signaling devices: Evidence from franchising (1993) Journal of Law Economics and Organization, 9, pp. 256-289; Lafontaine, F., Bhattacharyya, S., The role of risk in franchising (1995) Journal of Corporate Finance, 2, pp. 39-74; Martin, R.E., Franchising and risk management (1988) The American Economic Review, 78 (5), pp. 954-968; Mathewson, F., Winter, R., The economics of franchise contracts (1985) Journal of Law and Economics, 28, pp. 503-552; Michael, S.M., Entrepreneurial signaling to attract resources: The case of franchising (2009) Managerial and Decision Economics, 30, pp. 405-422; Minkler, A., Why firms franchise: A search cost theory (1992) Journal of Institutional and Theoretical Economics, 148, pp. 240-259; Norton, S., An empirical look at franchising as an organizational form (1988) Journal of Business, 61, pp. 197-218; Pénard, T., Raynaud, E., Saussier, S., Dual distribution and royalty rates in franchised chains: An empirical analysis using french data (2003) Journal of Marketing Channels, 10, pp. 5-31; Perrigot, R., La pérennité des réseaux de points de vente: Une approche par l'écologie des populations et les analyses de survie (2008) Recherche Et Applications En Marketing, 23 (1), pp. 21-37; Rao, R.C., Shubashri, S., Why are royalty rates higher in service-type franchises (1995) Journal of Economics and Management Strategy, 4 (1), pp. 7-31; Rubin, P., The theory of the firm and the structure of the franchise contract (1978) Journal of Law and Economics, 21 (1), pp. 223-233; Sen, K.C., The use of initial fees and royalties in business- format franchising (1993) Managerial and Decision Economics, 14, pp. 175-190; Stazhkova, M.M., (2007) Dogovor Franchayzinga: Pravovye Osnovy, Uchet I Nalogi [Franchising Contract: Legal Basis, Accounting and Taxes], , Moscow"
"Mkrtchyan N.V.","54788001400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84055182536&partnerID=40&md5=40824a28f1e10e4ae9d654e24cabde88","http://itogi-perepisi.livejournal.com/2384.html; http://demoscope.ru/weekly/2008/0319/temp01.php; http://wciom.ru/index.php?id=195&uid=13982; http://www.levada.ru/press/2010110101.html; http://demoscope.ru/weekly/2005/0185/tema01.php; http://www.fom.ru/reports/frames/of024002.html; http://www.polit.ru/analytics/2010/11/11/perepis.html; http://www.perepis-2010.ru/smi/detail.php?ID=5690; http://demoscope.ru/weekly/2008/0335/tema01.php; http://www.indem.ru/Ceprs/Migration/OsItExSo.html"
"Gurkov I.","6603320551;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859080419&doi=10.1080%2f14631377.2011.622572&partnerID=40&md5=602c704ed2f7dbc894204e182b679a34","Grishankov, D., Largest corporations are spending on innovations less than half of one percent (2009) The spending on corporate festive occasions is comparable, , http://www.unova.ru/article/1043, FinamFM, 15 June 2009, 09:96 [online]. Available from; Gurkov, I., Innovations in Russian industries: Conditions for implementation and impact on competitiveness (2005) Journal for East European management studies, 10 (2), pp. 218-246; Gurkov, I., Innovative actions and innovation (in)capabilities of Russian industrial companies - An extension of a quasi-longitudinal study (2006) Post-communist economies, 18 (3), pp. 297-313; Gurkov, I., The strategy process in Russian 'non-strategic' companies: Coping with economic recession (2009) Post-communist economies, 21 (4), pp. 439-451; Gurkov, I., Morgunov, E., Motivatsiya rukovoditelei srednikh rossiiskikh predpriyatii k innovatsiyam (2010) EKO, pp. 84-96; Illarionov, A., The leap backward (2009) Gazeta, , http://www.gazeta.ru/comments/2009/04/29_x_2981108.shtml, 30 April 2009 [online]; Kossov, V., Investment as a lever to bring the economy out of crisis, 41 (4). , in press, International studies of management and organizations"
"Shabanova M.","22951898600;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455246366&partnerID=40&md5=bf933ba7f03f2402f3c78398cade1993","Avtonomov, V., From 'Economic Imperialism' to Cross-Pollination (2010) Obshchestvennye Nauki I Sovremennost, (3), pp. 169+170; Guriyev, S., Three Sources and Three Component Parts of 'Economic Imperialism,' (2008) Obshchestvennye Nauki I Sovremennost, (3), p. 141; Ananyin, O., For 'Economic Imperialism' without Imperial Ambitions, or on Forms of Interdisciplinary Interconnections (2009) Obshchestvennye Nauki I Sovremennost, (6), p. 130; Guriyev, S., , pp. 140-141. , Op. Cit; Urnov, M., 'Economic Imperialism' through the Eyes of a Political Scientist (2009) Obshchestvennye Nauki I Sovremennost, (4), pp. 128-129; International Society For the Advancement of Socioeconomics (SASE), , http://www.sase.org./aboutsase/aboutsase.html; Shabanova, M., (2006) Socioeconomics As a Science and A New Study Discipline, 4. , Mir Rossiyi; Socioeconomics: From Paradigm to a New Science (2006) Obshchestvennye Nauki I Sovremennost, 1. , Id; Socioeconomics and Socioeconomic Policy (2007) Ekonomicheskaya Nauka Sovremennoy Rossiyi, 3. , Id; Etzioni, A., Toward a New Socioeconomic Paradigm (2003) Socioeconomic Review, 1; Keizer, P., A Socioeconomic Framework of Interpretation and Analysis (2005) International Journal of Social Economics, 32 (1-2); Hollingsworth, R., Millier, K., Transforming Socioeconomics with a New Epistemology (2008) Socioeconomic Review, 6; Boyer, R., The Quest for Theoretical Foundations of Socioeconomics: Epistemology, Methodology or Ontology? (2008) Socioeconomic Review, 6; Medvedev, D., The Implementation of National Projects, New Tasks (2008) Socioeconomic Development of Russia: New Frontiers, pp. 6+10. , Proceedings of an International Conference, Moscow, in Russian; Gontmakher, Y., Priority National Projects (An Attempt at Political and Economic Interpretation) (2006) Neprikosnovenny Zapas, 6; Zubakin, S., Aspects of the Implementation of Priority National Projects (2008) Socioeconomic Development of Russia: New Frontiers, , Moscow, in Russian; (2007) Analysis of the Position of Children In the Russian Federation, , Moscow; Ov-Charova, L., Popova, D., (2005) Child Poverty In Russia. Alarming Trends and The Choice of Strategy, , Moscow, in Russian; Viscusi, W.K., Aldy, J.E., The Value of a Statistical Life: A Critical Review of Market Estimates Throughout the World (2003) The Journal of Risk and Uncertainty, 27 (1); Costa, D.L., Kahn, M.E., Changes in the Value of Life, 1940-1980 (2004) The Journal of Risk and Uncertainty, 29 (2); Davis, L.W., The Effect of Health Risk on Housing Values: Evidence from a Cancer Cluster (2004) The American Economic Review, 94 (5); Andersson, H., Willingness to Pay for Road Safety and Estimates of the Risk of Death: Evidence from a Swedish Contingent Valuation Study (2007) Accident Analysis and Prevention, 29 (4); Starr, M.A., The Social Economics of Ethical Consumption: Theoretical Considerations and Empirical Evidence (2009) Journal of Socioeconomics; Hartlieb, S., Jones, B., Humanizing Business Through Ethical Labeling: Progress and Paradoxes in the UK (2009) Journal of Business Ethics; Michelson, G., Ethical Investment Processes and Outcomes (2004) Journal of Business Ethics, 52 (1); Hellsten, S., Mallin, C., Are 'Ethical' or 'Socially Responsible' Investments Socially Responsible? (2006) Journal of Business Ethics, 4; Avtonomov, V., The Model of Man in Economic Theory and Other Social Sciences (1998) The Sources: Issues In the History of the National Economy and Economic Thought, (3). , Moscow, in Russian; (2004) World Report On Preventing Road Injuries, pp. 16+22+123-175. , Moscow, in Russian; Andreyev, Y., Is It Possible to Reduce Mortality in Russia? (2004) Demoskop-Weekly, (145-146); (2006) Russia Loses Hundreds of Billions of Dollars Because of the State of Its Healthcare System, , http://www.zrpress.ru/zr/2006/23/33, Interview by Sergey Ivanov to FK-Novosti, March; Alesina, A., Angeletos, G.-M., Fairness and Redistribution (2005) American Economic Review, 95 (4); Corneo, G., Fong, C.M., What's the Monetary Value of Distributive Justice? (2008) Journal of Public Economics, 92 (1-2); Etzioni, A., Socioeconomics: Further Steps (2002) Ekonomicheskaya Sotsiologiya, 3 (1), p. 67; de George, R., (2001) Business Ethics, 1, pp. 18-19. , Moscow, in Russian; Ariely, D., The End of Rational Economics (2009) Harvard Business Review, 87 (7); Adrade, E.B., Ariely, D., The Enduring Impact of Transient Emotions on Decision-Making (2009) Organizational Behavior and Human Decision Processes, 109 (1); Classification of the Resources of Social Actors; Zaslavskaya, T., (2004) Modern Russian Society. the Social Mechanism of Transformation, pp. 389-390. , Moscow, in Russian; Note; Ananyin, O., , pp. 132-133. , Op. Cit; Heilbroner, R., (1993) Economic Theory As a Universal Science, (1), p. 46. , THESIS; Schiffman, D.A., Mainstream Economics, Heterodoxy and Academic Exclusion: A Review Essay (2004) European Journal of Political Economy, 20 (4), p. 1094; de George, R., Consolations for the Economist: The Future of Economic Orthodoxy (2007) Journal of Economic Surveys, 21 (3), pp. 417+419; Kornai, J., The System Paradigm (2002) Voprosy Ekonomiki, (4), p. 12; Saburov, E., From Disciplinary Imperialism to Hedonistic Utilitarianism (2008) Obshch-estvennye Nauki I Sovremennost (ONS), (6), p. 125"
"Bozhenko E.","54891346000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855698955&doi=10.1016%2fj.sbspro.2011.10.315&partnerID=40&md5=2e7a696681f5723fd970da0aa48bf270","Bengston, V.L., Beyond the nuclear family: The increasing importance of multigenerational bonds (2001) Journal of Marriage and Family, 63, pp. 1-16; Bowlby, J., (1973) Attachment and Loss, 2. , Separation: Anxiety and anger. London: Penguin Books; Bowen, M., Toward the differentiation of self in one's family of origin (2008) The Family Systems Theory of Murray Bowen: Main Concepts, Methods and Clinical Practice, , C. Baker & A. Varga (Eds.) Moscow: Cogito-Centre; Budinayte, G., Khamitova, I., The dangerous ties of generations (2006) Modern Child and Modern Parent: The Encyclopaedia of Mutual Understanding, pp. 128-179. , A. Varga (Ed.) Moscow.: OGI; Cicirelli, V.G., Adult children's attachment and helping behavior to elderly parents: A path model (1983) Journal of Marriage and Family, 45 (4), pp. 815-825; Cicirelli, V.G., Attachment theory in old age: Protection of the attached figure (1991) Parent-child Relations Throughout Life, pp. 25-42. , K. Pillemer & K. McCartney (Eds.) Hillsdale, NJ: Erlbaum; Eisenhandler, S.A., Lifelong roles and cameo appearances: Elderly parents and relationships with adult children (1992) Journal of Aging Studies, 6 (3), pp. 243-257; Heike, B.M., Development of a model describing individuated adult child-parent relationships (2008) International Journal of Behavioral Development, 32 (5), pp. 381-389; Knoester, C., Transitions in young adulthood and the relationship between parent and offspring well-being (2003) Social Forces, 81 (4), pp. 1431-1458; Lye, D.N., Adult child-parent relationships (1996) Annual Review of Sociology, 22, pp. 79-102; Milkie, M.A., Bierman, A., Schieman, S., How adult children influence older parents? Mental health: Integrating stress-process and life-course perspectives (2008) Social Psychology Quarterly, 71 (1), pp. 86-105; Orlov, A., The evolution of interpersonal relations in the family: The main approaches, orientations and trends (1996) Magister, 1, pp. 52-64; Rossi, A.S., Rossi, P.H., (1990) Of Human Bonding: Parent-child Relations Across the Life Course, , New York: Aldine de Gruyter; Spitze, G., Gallant, M.P., ""The bitter with the sweet"": Older adults' strategies for handling ambivalence in relations with their adult children (2004) Research on Aging, 26 (4), pp. 387-412. , DOI 10.1177/0164027504264677; Troll, L.E., Family life in middle and old age: The generation gap (1982) Annals of the American Academy of Political and Social Science, 464, pp. 38-46; Troll, L.E., Fingerman, K.L., Connections between parents and their adult children (1996) Handbook of Emotion, Adult Development, and Aging, pp. 185-205. , C. Magai & S. McFadden (Eds.) San Diego: Academic Press; Varga, A., Family therapy and family life cycle in Russia (2003) Global Perspectives in Family Therapy: Development, Practice, Trends, pp. 105-114. , K. Ng (Ed.) New York: Brunner-Routledge; Varga, A., (2011) Introduction into the Family Systems Therapy, , (2nd ed.). Moscow.: Cogito; Varga, A., Budinayte, G., Theoretical basis of family systems therapy (2005) Family Systems Therapy, pp. 11-60. , A. Chernikov (Ed.) Moscow: Klass"
"Krasnov M.","54882716500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455253324&partnerID=40&md5=b7fd40a2e1b8ebd8420b60fca62cadd0","Note; Krasnova, O., Young People about Young People in Modern Society (2008) Topical Problems of Youth Subculture, p. 184. , Moscow, in Russian; Lessons of Solzhenitsyn (Interview by the French Philosopher André Glucksmann), (2004) Svobodnaya Mysl-XXI, 4, pp. 180-181; Note; Solzhenitsyn, A., (1990) How We Should Organize Russia: Adequate Considerations, pp. 8-9. , Leningrad, in Russian; Ilyin, I., (1996) Foundations of the State System. Draft Fundamental Law of the Russian Empire, p. 45. , Moscow, in Russian; Solzhenitsyn, A., , p. 27. , Op. Cit; The ""bottom"" implies the basic, ""grass-roots"" level of public life rather than the lower level of the hierarchy of power; Solzhenitsyn, A., , p. 51. , Op. Cit; http://www.liberal.ru/articles/cat/4535, See; Krasnov, M., (2006) Personalist Regime In Russia: An Attempt At Institutional Analysis, , Moscow; Krasnov, M., Shablinsky, I., (2008) Russia's Power System: One-Angle Triangle, , Moscow, both in Russian; Note; Radzikhovsky, L., Hi, Unwashed Russia! Yezhednevny Zhurnal, , http://ej.ru./dayTheme/entry/1441/), July 15, 2005; Berdyaev, N., (1990) Philosophy of Inequality, pp. 35-36. , Moscow, in Russian; Note; Wintrobe, R., University of Western Ontario, p. 4. , http://time.dufe.edu.cn/jingjiwencong/waiwenziliao/dictatorshipsurvey.pdf, April 25, 2002; Ortega, J., Gasset, (1994) La Rebelión De Las Masas, , Madrid; The asterisks mean that this variant was not asked; (2008) Obshchestvennoye Mneniye-2008, p. 23. , Moscow, in Russian; Chizhkov, S., (2008) Evolution of the Ideas of Boris Nikolayevich Chicherin, p. 23. , Moscow, in Russian; de Tocqueville, A., (2007) Democracy In America, 2, p. 69. , New York; Solzhenitsyn, A., , p. 47. , Op. Cit; Note; Latynina, Y., The Murder of the Mayor of Tuchkovo Yezhednevny Zhurnal, , http://www.ej.ru/?a=note&id=9784, January 8, 2010"
"Romashkin N., Ignatov D., Kolotova E.","55027709000;56926915100;55027260900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857495195&partnerID=40&md5=20c94ea6f185fc10e7116cbcdfcdb4a4","Akbulut, A.Y., Looney, C.A., Inspiring students to pursue computing degrees (2007) Commun. ACM, 50, pp. 67-71; Chang, P.-Y., Hung, C.-Y., Lng Wang, K., Huang, Y.-H., Chang, K.-J., Factors influencing medical students' choice of specialty (2006) Journal of the Formosan Medical Association, 105 (6), pp. 489-496; Freeman, L., White, D., Using galois lattices to represent network data (1993) Sociological Methodology Volule, 23 (1), pp. 127-146; Ganter, B., Wille, R., (1999) Formal Concept Analysis: Mathematical Foundations, , Springer, Berlin-Heidelberg; Kuznetsov, S.O., Machine learning and formal concept analysis (2004) ICFCA, pp. 287-312. , 2004-02-19), P. W. Eklund, Ed. Lecture Notes in Computer Science Series, vol. 2961. Springer; Kuznetsov, S.O., Ignatov, D.I., Concept stability for constructing taxonomies of web-site users (2009) Satellite Workshop ""Social Network Analysis and Conceptual Structures: Exploring Opportunities"" at the 5th International Conference Formal Concept Analysis (ICFCA'07), pp. 19-24. , Clermont-Ferrand, France; O'Herrin, J.K., Becker, Y.T., Lewis, B., Chen, H., Why do students choose careers in surgery? (2003) The Journal of Surgical Research, 114 (2), p. 260; Poelmans, J., Elzinga, P., Viaene, S., Dedene, G., Formally analysing the concepts of domestic violence (2011) Expert Syst. Appl., 38, pp. 3116-3130; Priss, U., Linguistic applications of formal concept analysis (2005) Formal Concept Analysis, pp. 149-160. , (2005-07-20); Roth, C., Obiedkov, S.A., Kourie, D.G., Towards concise representation for taxonomies of epistemic communities (2006) CLA, pp. 240-255. , 2008-04-15, S. B. Yahia, E. M. Nguifo, and R. Belohlavek, Eds. Lecture Notes in Computer Science Series, vol. 4923. Springer; Stumme, G., Taouil, R., Bastide, Y., Pasquier, N., Lakhal, L., Computing iceberg concept lattices with titanic (2002) Data & Knowledge Engineering, 42 (2), pp. 189-222; Tilley, T.A., Cole, R.J., Becker, P., Eklund, P.W., A survey of formal concept analysis support for software engineering activities (2005) LNAI Series, 3626, pp. 250-271. , Springer-Verlag; Valtchev, P., Missaoui, R., Godin, R., Formal concept analysis for knowledge discovery and data mining: The new challenges (2004) Concept Lattices, pp. 352-371. , P. W. Eklund, Ed. Lecture Notes in Computer Science Series, vol. 2961. Springer"
"Savchenko A.","42962245900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890908026&partnerID=40&md5=a808c7d092aaa9611c6c4d8dcdebe8b9","Rui, Y., Huang, T., Chang, S.F., Image retrieval: Current techniques, promising directions and open issues (1999) Visual Communication and Image Representation, 10, pp. 39-62; Flickner, M., Query by image and video content: The QBIC system (1995) IEEE Computer, 28 (9), pp. 23-32; Savchenko, A.V., Method of directed enumeration of alternatives in the problem of automatic recognition of half-tone images (2009) Optoelectronics, Instrumentation and Data Processing, 45 (3), pp. 83-91; Jia, Z., Amselang, L., Gros, P., Content-based image retrieval from a large image database (2008) Pattern Recognition, 11 (5), pp. 1479-1495; Huet, B., Hancock, E.R., Shape recognition from large image libraries by inexact graph matching (1999) Pattern Recognition Letters, 20 (11-13), pp. 1259-1269; Cover, T.M., Hart, P.E., Nearest neighbor pattern classification (1968) IEEE Trans. Information Theory, 13, pp. 21-27; Theodoridis, S., Koutroumbas, C., (2009) Pattern Recognition, , 4th edn., Elsevier Amsterdam; Eickeler, S., Jabs, M., Rigoll, G., Comparison of confidence measures for face recognition (2000) Fourth IEEE International Conference on Automatic Face and Gesture Recognition (FG'00), pp. 257-263; Min, R., Cheng, H.D., Effective image retrieval using dominant color descriptor and fuzzy support vector machine (2009) Pattern Recognition, 42 (1), pp. 147-157; Wong, K.M., Cheung, C.H., Po, L.M., Dominant color image retrieval using merged histogram (2003) Proc. the 2003 Int. Symposium; Yoo, G.-H., Kim, B.K., You, K.S., Content-based image retrieval using shifted histogram (2007) ICCS, LNCS, 4489, pp. 894-897; Foon, N.H., Jin, A.T.B., Ling, D.N.C., Face recognition using wavelet transform and non-negative matrix factorization (2004) Proc. 7th Australian Joint Conference on Artificial Intelligence, pp. 192-202. , Cairns; Kullback, S., (1978) Information Theory and Statistics, , Dover Pub., New York; Kullback, S., Leibler, R.A., On information and sufficiency (1951) Annals of Mathematical. Statistics, 22, pp. 79-86; Oppenheim, A.V., (1989) Discrete-time Signal Processing, , Prentice-Hall; Zhao, W., Chellappa, R., (2005) Face Processing: Advanced Modeling and Methods, , Elsevier/Academic Press; Kupperman, M., (1957) Further Applications of Information Theory to Multivariate Analysis and Statistical Inference, , Dissertation, Graduate Council of George Washington University; Gonsalvesh, M., Papa, J., Zhang, B., A genetic programming framework for contentbased image retrieval (2009) Pattern Recognition, 42 (2), pp. 283-292; Voskoboinikov, Yu.E., Litvinov, L.A., Choosing the stopping iteration in iterative algorithms of image and signal reconstruction (2004) Optoelectronics, Instrumentation and Data Processing, 40 (4), pp. 3-9; Marpl Jr., S.L., (1987) Digital Spectral Analysis with Applications, , Englewood Cliffs, N.J.: Prentice-Hall; Essex Faces Database, , http://cswww.essex.ac.uk/mv/allfaces/index.html"
"Teplova T., Shutova E.","56030567300;57195435559;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008872009&doi=10.14208%2fBF03353829&partnerID=40&md5=fb779772255e65aa876b17713218829f","Arditti, F.D., Risk and required return on equity (1967) Journal of Finance, 22, pp. 19-36; Bakaert, G., Harvey, C.R., Emerging equity market volatility (1997) Journal of Financial Economics, 43, pp. 29-77; Barone-Adesi, G., Arbitrage equilibrium with skewed asset returns (1985) Journal of Financial and Quantitative Analysis, 20, pp. 299-313; Bawa, V., Lindenberg, E., Capital market equilibrium in a mean-lower partial moment framework (1977) Journal of Financial Economics, 5, pp. 189-200; Chiao, C., Hung, K., Srivastava, S., Taiwan stock market and four-moment asset pricing model (2003) Int. Fin. Markets, Inst. and Money, 13, pp. 355-381; Chung, Y.P., Johnson, H., Schill, M., Asset pricing when returns are non-normal: Fama- French factors vs higher-order systematic co-moments (2006) Journal of Business, 79, pp. 923-940; Chunhachinda, P., Dandapani, K., Hamid, S., Prakash, A.J., Portfolio selection and skewness: Evidence from international stock markets (1997) Journal of Banking and Finance, 21, pp. 143-167; Conine, T.E., Tamarkin, M.J., On diversifcation given asymmetry in returns (1981) Journal of Finance, 36, pp. 1143-1155; Dittmar, R.F., Nonlinear pricing kernels, kurtosis preference, and evidence from the cross section of equity returns (2002) Journal of Finance, 57, pp. 369-403; Doan, P., Lin, C., Zurbruegg, R., Pricing assets with higher moments: Evidence from the Australian and US stock markets (2010) Int. Fin. Markets, Inst. and Money, 20, pp. 51-67; Estrada, J., Systematic risk in emerging markets: the D-CAPM (2002) Emerging Markets Review, 3, pp. 365-379; Estrada, J., Serra, A., Risk and return in emerging markets: family matters (2005) Journal of Multinational Financial Management, 15, pp. 257-272; Estrada, J., Mean-semivariance behavior: downside risk and capital asset pricing (2007) International Review of Economics and Finance, 16, pp. 169-185; Fama, E., MacBeth, J.D., Risk return and equilibrium: empirical test (1973) Journal of Political Economy, 81, pp. 607-636; Fang, H., Lai, T.Y., Co-kurtosis and capital asset pricing (1997) The Financial Review, 32, pp. 293-307; Francis, J.C., Skewness and investors’ decisions (1975) Journal of Financial and Quantitative Analysis, 10, pp. 163-176; Friend, I., Westerfield, R., Co-skewness and capital asset pricing (1980) Journal of Finance, 35, pp. 1085-1100; Galagedera, D.H., Silvapulle, P., (2002) Conditional relation between higher moments and stock returns: Evidence from Australian data, Proceedings from the Econometric Society, , Australian meeting, Queensland University of Technology; Gibbons, M., Ross, S., Shanken, J., A test of the efficiency of a given portfolio (1989) Econometrica, 57, pp. 1121-1152; Goriaev, A., Zabotkin, A., Risks of investing in the Russian stock market: Lessons of the first decade (2006) Emerging Market Review, 7 (4), pp. 380-397; Harlow, V., Rao, R., Asset pricing in a generalized mean-lower partial moment framework: Theory and evidence (1989) Journal of Financial and Quantitative Analysis, 24, pp. 285-301; Hartmann, M.A., Khambata, D., Emerging stock markets: investment strategies for the future (1993) Columbia Journal of World Business, 21, pp. 83-103; Harvey, C., Siddique, A., Autoregressive conditional skewness (1999) Journal of Financial and Quantitative Analysis, 34, pp. 465-488; Harvey, C., Siddique, A., Conditional skewness in asset pricing tests (2000) Journal of Finance, 55, pp. 1263-1295; Hogan, W.W., Warren, J.M., Toward the development of an equilibrium capital market model based on semivariance (1974) Journal of Financial and Quantitative Analysis, 9, pp. 1-11; Homaifar, G., Graddy, D., Equity Yields in Models Considering Higher Moments of the Return Distribution (1988) Applied Economics, 20, pp. 325-334; Hwang, S., Satchell, S., Modeling emerging risk premia using higher moments (1999) International Journal of Finance and Economics, 4 (1), pp. 271-296; Ingersoll, J., Multidimentional security pricing (1975) Journal of Financial and Quantitative Analysis, 10 (4), pp. 785-798; Iqbal, J., Brooks, R., Galagedera, D.A.U., Asset pricing with higher comovement and alternate factor models: The case of emerging markets (2007) Working Paper, , Monash University, Australia; Iqbal, J., Brooks, R., Galagedera, D.U., Testing conditional asset pricing model: An emerging market perspective (2008) Working Paper, , Monash University, Australia; Javid, A., Test of higher moment capital asset pricing model in case of Pakistani equity market (2009) European Journal of Economics, Finance and Administrative Sciences, 15, pp. 144-162; Jegadeesh, N., Titman, S., Returns to buying winners and selling losers: implications of stock market inefficiency (1993) Journal of Finance, 58, pp. 65-91; Korajczyk, R.A., A measure of stock market integration for developed and emerging markets (1996) World Bank Economic Review, 10, pp. 167-289; Kraus, A., Litzenberger, R., Skewness preference and valuation of risk assets (1976) Journal of Finance, 31, pp. 1085-1100; Lai, T.Y., Portfolio selection with skewness: A multiple-objective approach (1991) Review of Quantitative Finance and Accounting, 1, pp. 293-305; (1977) Journal of Financial and Quantitative Analysis, 12 (1); Lim, K.G., A new test of the three-moment CAPM (1989) Journal of Financial and Quantitative Analysis, 24, pp. 205-216; Mitra, D., Low, S.K., A study of risk and return in developed and emerging markets from a Canadian perspective (1998) Mid- Atlantic Journal of Business, 34, pp. 75-91; Peiro, A., Skewness in financial returns (1999) Journal of Banking and Finance, 32, pp. 847-862; Pettengill, G.N., Sundaram, S., Mathur, L., The conditional relation between beta and returns (1995) Journal of Financial and Quantitative Analysis, 30, pp. 101-116; Ranalddo, A., Fave, L., How to price Hegde Fungs: From Two to Four Moment CAPM (2005) Working Paper, , Swiss National Bank, Zurich, Switzerland; Schweser, C., Schneeweis, T., Risk return and the multidimensional security pricing market (1980) Journal of Financial Research, 3, pp. 23-31; Sears, R.S., Wei, K.C.J., Asset pricing, higher moments, and the market risk premium: a note (1985) Journal of Finance, 40, pp. 1251-1253; Simkowitz, M., Beedles, W., Diversification in a three moment world (1978) Journal of Financial and Quantitative Analysis, 13, pp. 927-941; Smith, D., Conditional coskewness and capital asset pricing (2007) Journal of Empirical Finance, 91, pp. 91-119; Tan, K.J., Risk return and the three-moment capital asset pricing model: another look (1991) Journal of Banking and Finance, 15, pp. 449-460; Teplova, T., Selivanova, N., DCAPM testing in Russian stock market (2007) EJournal of Corporate Finance, 3, pp. 5-25"
"Kozyrev O., Malyzhenkov P.","6602554401;54783108900;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655211617&partnerID=40&md5=1d4174f154cde8ab2a60bb66b25f3680","Klimova, N., Litvintseva, M., Universities Innovation Clusters: Approaches for National Competitiveness Paradigm European Journal of Social Sciences, 19 (1), pp. 160-162. , 2011; Litvintseva, M., Methodology for Cluster Model Analysis for Technical and Workforce Needs of Companies in Universities Research Parks (2011) International Research Journal of Finance and Economics, 63, pp. 53-58; Klimova, N., Innovative Clusters in Regional Economy (2011) International Research Journal of Finance and Economics, 65, pp. 6-10; Kozyrev, O., Regional Clusters as the form of the Territorial Organization of Economy (2011) European Journal of Social Sciences, 21 (2), pp. 220-226; Porter, M., The Cluster and Competition: New Agenda for Companies, Governments and Institutions (1998) MA: Harvard Business Review Books; Richardson, H., Input - Output and Regional Economics (1972) NY: John Wiley and Sons, pp. 27-28; Loviscek, A., West Virginia Input - Output Study: Modeling a Regional Economy (1975) Morgantown, WV: West Virginia University Library, p. 1979. , at alias The; Leontief, W., The Structure of Development (1963) Scientific America, 209 (3), pp. 148-166; Antoldi, F., (2006) Piccole Imprese E Distretti Industriali. Politiche Per Lo Sviluppo In Italia E In America Latina, , Il Mulino, Bologna; Becattini, G., (1989) Modelli Locali Di Sviluppo, , Il Mulino, Bologna; Ricciardi, A., (2003) Le Reti Di Imprese. Vantaggi Competitivi E Pianificazione Strategica, , Franco Angeli, Milano; Osservatorio Nazionale Distretti Italiani, I rapporto, 2010; Osservatorio Nazionale Distretti Italiani, II rapporto, 2011"
