;Область, Авторы, Идентификаторы авторов, Ссылка, Ключевые слова автора, Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Gromov E., Logvinova K., Morozov V., Tyutin V.,""56802827200";8284266700;37079439900;6603597680;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961238208&partnerID=40&md5=f70f5d965f80944d48a76f2d5327ab3d"",""Anomalous diffusion"; Fractal operator;" Random"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Kozyrev O., Malyzhenkov P.,""6602554401";54783108900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655211617&partnerID=40&md5=1d4174f154cde8ab2a60bb66b25f3680"",""Clusters"; Input-output model;" Networks"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gurkov I.,""6603320551";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055039785&doi=10.1108%2f17422041111180773&partnerID=40&md5=a733219028eaa3af3345ec47305515da"",""Absorptive capacity"; Companies; Knowledge management; Knowledge transfer; Russia; Russian companies; Western companies;" Western Europe"",";;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Klimova N., Kozyrev O.,""36941059400";6602554401;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052077405&partnerID=40&md5=b82dd43786782cee3083805c18839c39"",""Educational distributed systems";" Social capital"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Sheresheva M.Y., Kolesnik N.A.,""44662077400";44661508300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052272219&doi=10.1016%2fj.indmarman.2011.06.021&partnerID=40&md5=8a868860f904e8dd260df011798a6b4c"",""B2b relationships"; Distribution networks;" Markov chains"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Zaytseva A., Shuvalova O.,""57073555500";7801581491;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886524330&doi=10.17323%2f1995-459X.2011.2.16.32&partnerID=40&md5=22ed34e2cb963db28123fcb4767aa474"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gurkov I.,""6603320551";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859073777&doi=10.1080%2f10669868.2011.634772&partnerID=40&md5=3e2c005fc4d3c2c68ebe7027f6afd7f2"",""competitive positioning"; innovations in Russia; stakeholders;" surveys"",""business development"; industrial technology; innovation; stakeholder; survey;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Gokhberg L., Kuznetsova T.,""6508192345";55861954300;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859051573&doi=10.1080%2f10669868.2011.634769&partnerID=40&md5=85deb1238d1324d10390af6f0c7e07aa"",""innovation activity in Russia";" new format of the public policies"",""financial crisis"; innovation; regulatory framework; technology policy;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Karasev O., Rudnik P., Sokolov A.,""54895674700";55149663200;55145232200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859071282&doi=10.1080%2f10669868.2011.634771&partnerID=40&md5=747babf56ab9842079064e438aa738b2"",""emergent markets"; nanotechnology;" technology foresight"",""competitiveness"; manufacturing; market conditions; nanotechnology; research and development; technological development;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;
1;"Gurkov I., Zelenova O.,""6603320551";54935070100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856387095&doi=10.2753%2fIMO0020-8825410404&partnerID=40&md5=5f0be98850d55b269df4d906ae8640be"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Kossov V.,""54937595700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856404055&doi=10.2753%2fIMO0020-8825410401&partnerID=40&md5=49c489d17aa82e4ce61c1d0108f4efa0"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Babkin E., Karpunina M., Aseeva N.,""6701533991";55274973600;15847630900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054120269&doi=10.1007%2f978-3-642-24511-4_9&partnerID=40&md5=dd28b748c4d245f340d32c515cb0b963"",""distributed databases"; Neural networks; parallel programming;" tabu search"",""Data structures"; Information science; Learning algorithms; Neural networks; Parallel programming; Structural optimization; Distributed database; Logical structure; Parallel tabu search; Performance metrics;" Tabu search""";;;;;;;;;;;;;;;;;;;
1;"Gurkov I., Settles A.,""6603320551";53264788000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856389094&doi=10.2753%2fIMO0020-8825410400&partnerID=40&md5=5db41b0b40676799b8451f329ec2bea2"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Doroshenko M.,""55903713000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886543101&doi=10.17323%2f1995-459X.2011.4.50.65&partnerID=40&md5=81cbaec2c581da3bf7c43da077dae263"",""Co-production of services"; Customization; Innovation activity; Innovation performance; Knowledge-intensive business services; Service industrialization; Service innovation;" Standard services"",";;;;;;;;;;;;;;;;;;;;;;;;;;;
1;"Boikova M., Ilyina I., Salazkin M.,""55904021400";55904215000;55903953800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886569078&doi=10.17323%2f1995-459X.2011.4.32.48&partnerID=40&md5=3bc88fa9faeba7fe35e1bb818ad2e941"",""Creative city"; Eco-city; Global city; Megapolis; Paradigm shift; Smart city; Strategy of urban development; Urban population;" Urbanization"",";;;;;;;;;;;;;;;;;;;;;;;;
1;"Gstraunthaler T., Sagieva G.,""23978154900";55903734500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886540854&doi=10.17323%2f1995-459X.2011.4.66.76&partnerID=40&md5=3cbf96e8ba1a86d9791d668dec57990a"",""Capital market"; Innovation startup; Innovative company; Regional pattern; Venture capital; Venture capitalist; Venture fund;" Venture investment"",";;;;;;;;;;;;;;;;;;;;;;;;;;
