;Agriculture Biological Sciences, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Denisov B.P., Sakevich V.I., Jasilioniene A.,""55513264700";55512951300;24464335800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870675175&doi=10.1371%2fjournal.pone.0049986&partnerID=40&md5=aa6e6e7c040a34255b8afb4dc2d205c1"",,""abortion"; adult; article; Belarus; birth control; contraception; document examination; family planning; female; health care policy; human; reproductive health; Russian Federation; sexual behavior; social aspect; trend study; Ukraine; Abortion, Induced; Adolescent; Adult; Aged; Aged, 80 and over; Contraception Behavior; Contraception, Barrier; Data Collection; Family Planning Services; Female; Humans; Intrauterine Devices; Male; Middle Aged; Ovulation Inhibition; Pregnancy; Republic of Belarus; Russia; Sterilization, Reproductive; Ukraine;" Young Adult"""
0;"Pavlyuchenkova S.M., Zakhidov S.T., Makarov A.A., Marshak T.L.,""55220209500";7003809680;48661185300;7003943779;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868697926&doi=10.1134%2fS106235901206009X&partnerID=40&md5=db6aaed1a251be8f017530b3b83093c9"",,""Animalia";" Mus""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;"Nye J.V.C., Androuschak G., Desierto D., Jones G., Yudkevich M.,""8234501800";55385970200;36494178100;55386227800;25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867314768&doi=10.1371%2fjournal.pone.0046319&partnerID=40&md5=84eab122d1fe9826a08165999bacf6ba"",,""testosterone"; academic achievement; article; controlled study; education program; ethnic difference; female; finger; hand; human; human experiment; male; perception; Philippines; prenatal growth; Russian Federation; sex difference; socioeconomics; university student; Educational Status; Female; Fingers; Humans; Male; Pregnancy; Prenatal Exposure Delayed Effects; Sex Factors;" Testosterone""";;;;;;;;
0;"Zakhidov S.T., Pavlyuchenkova S.M., Marshak T.L., Rudoy V.M., Dement'eva O.V., Zelenina I.A., Skuridin S.G., Makarov A.A., Khokhlov A.N., Evdokimov Y.M.,""7003809680";55220209500;7003943779;8847412500;6602135538;6603947162;7004401920;48661185300;7201745734;7005610657;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861115293&doi=10.1134%2fS1062359012030156&partnerID=40&md5=c7e607cf1ce49a42f5f3c5a389b8d8ec"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Budnitskii O., Rupp S.,""36936489000";56320395600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905876030&partnerID=40&md5=92a7cc06b6ba8a49ddbd110856ce1b2b"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Endresen A., Janda L.A., Kuznetsova J., Lyashevskaya O., Makarova A., Nesset T., Sokolova S.,""54880902900";25637094500;55047670800;37090988800;54879902200;14010678000;55535953100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871487972&doi=10.1080%2f00806765.2012.740247&partnerID=40&md5=6342830963615256fd5cede7878cf723"",""Aspect"; Prefixes; Radial category; Russian;" Verbs"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Libman A., Kozlov V., Schultz A.,""35763477800";55429890300;55430723100;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867882524&doi=10.1111%2fkykl.12005&partnerID=40&md5=1efb71d92440ee818f244aa99e4831ab"",,""governance approach"; political system; public goods; tax system;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Grinin L., Korotayev A.,""24331544600";7003940480;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866721653&doi=10.1080%2f02604027.2012.697836&partnerID=40&md5=d1ec8306d046e7ee99f21666ee986358"",""Arab Spring"; Arab world; Islamic world; Middle East; new coalitions; new epoch; revolution; World System; World System reconfigurations;" youth bulge."",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Boldyrev I.A.,""54881811600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871312452&doi=10.1080%2f02698595.2012.731732&partnerID=40&md5=69fe0c23f93b853d1b2c38dcacb8ae83"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Filatova I.,""55340678200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865268584&doi=10.1080%2f02582473.2012.665077&partnerID=40&md5=c5acf5530be683a25bed38a1c13b7b4d"",""African National Congress"; communism; National Democratic Revolution;" South African Communist Party"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Akinina Y., Dragoy O.,""55558819300";36522630700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872437819&partnerID=40&md5=730642c87b25be392973b784332d1ffc"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Dragoy O., Ivanova M., Kuptsova S., Ulicheva A.,""36522630700";13406041800;55344594700;55266444400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872469737&partnerID=40&md5=d28cc672f0c6e4ae806560ad77b504d7"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Borisova T.,""36455542800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866390709&doi=10.1017%2fS0738248012000193&partnerID=40&md5=3af405162107487508aad32f44ed7e99"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Marey A.,""55270372800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863099560&partnerID=40&md5=4304e37d5a1297ea908be2e6fffd3e72"",""Alphonse the Sage"; Castile; Crime; Siete partidas; Sin;" Yerro"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Medushevsky A.N.,""35488593700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864381026&doi=10.1016%2fj.euras.2012.03.003&partnerID=40&md5=360e8094fb8b5833c59be9e4ab4fd61a"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Sanina A.,""36469087400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864389722&doi=10.1016%2fj.euras.2012.03.004&partnerID=40&md5=d2bac2b438ad02eeffe847ce43f3fb3f"",""Civil identity"; National identity; Russian identity; State identity;" Visual sociology"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Shekova E.,""55232767700";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861548367&doi=10.1080%2f09647775.2012.674320&partnerID=40&md5=6a0b2fc2adb913712f2e45992eea1027"",""cultural consumption"; cultural policy; museum attendance; Perestroika;" Russian museums"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;"Cieciuch J., Schwartz S.H.,""36605942900";7403606009;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859972048&doi=10.1080%2f00223891.2012.655817&partnerID=40&md5=683172b898318b8f963e7692c2365ea7"",,""achievement"; adolescent; adult; aged; article; child; factorial analysis; female; human; male; middle aged; motivation; psychological model; questionnaire; social psychology; Achievement; Adolescent; Adult; Aged; Aged, 80 and over; Child; Factor Analysis, Statistical; Female; Humans; Male; Middle Aged; Models, Psychological; Motivation; Questionnaires;" Social Values""";;;;;;;;;
