;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Kozintseva E.G., Dragoy O.V., Malyutina S.A., Ivanova M.V., Sevan D.A., Kuptsova S.V., Petrushevsky A.G., Fedina O.N., Gutyrchik E.F.,""55266444100";36522630700;55935739000;13406041800;55935476400;55344594700;55935654100;55935963000;35253306800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888092206&partnerID=40&md5=fd70358fbae812107e0336c37967d506"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Bos L.S., Dragoy O., Iskra E., Avrutin S., Bastiaanse R.,""54583101600";36522630700;55935608100;6602652840;7003821546;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888113041&partnerID=40&md5=3dab04a46bc33bc93c608f2f4612afa8"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Aguiar V.D., Bastiaanse R., Reis A., Dragoy O.,""56481545300";7003821546;55936144100;36522630700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888107489&partnerID=40&md5=cf4332a831dc2281fc99fef793746532"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Lajus J., Kraikovski A., Lajus D.,""9243817600";9243817800;6602612811;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886302574&doi=10.1371%2fjournal.pone.0077059&partnerID=40&md5=a326ed0ea813b861528a1e4fbc2b396e"",,""article"; Baltic Sea; coastal waters; commercial phenomena; environmental exploitation; Finland; fishery; freshwater fish; history; population abundance; population density; river basin; Animals; Baltic States; Bays; Ecosystem; Finland; Fisheries; Fishes; Geography; History, 15th Century; History, 16th Century; History, 17th Century; History, 18th Century; History, 19th Century; History, 20th Century; Human Activities; Humans; Oceans and Seas; Population Density; Population Dynamics;" Rivers""";;;;;;;;;;;;
15;"Gokhberg L., Meissner D.,""6508192345";55337583500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984930110&doi=10.1038%2f501313a&partnerID=40&md5=6f857e2991716f3cd92b27a3654688ae"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Ivanova M.V., Hallowell B.,""13406041800";6701685000;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882269676&doi=10.1080%2f02687038.2013.805728&partnerID=40&md5=54c502e169a2407f82782e1a4548ec79"",""Aphasia"; Language assessment; Psychometrics; Reliability; Standardised testing; Test development;" Validity"",""aphasia"; clinical assessment tool; cognition; human; information dissemination; language ability; language processing; language test; linguistics; psychometry; review; scoring system; sensitivity and specificity; speech; test retest reliability; validity;" visual stimulation""";;;;;;;;;;;;;;;;;;;;;;
15;"Nye J.V.C., Androuschak G., Desierto D., Jones G., Yudkevich M.,""8234501800";55385970200;36494178100;55386227800;25924090500;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895546211&doi=10.1371%2fannotation%2f8e05e33b-58cf-4983-b021-3a65d27ef2a1&partnerID=40&md5=ebab7403d3c5c9c1c8d9ff9e69719d5f"",,""erratum";" error""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Koltsova O., Koltcov S.,""6507090770";55803521900;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880716210&doi=10.1002%2f1944-2866.POI331&partnerID=40&md5=34505b39ad74a91a65b9ac385398f8a8"",""blogs"; LDA; online public opinion; political protests; Russia;" topic modeling"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;"Utochkin I.S.,""14020843800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961203995&doi=10.1167%2f13.3.18&partnerID=40&md5=33a41655ee6658ba1fc59a6bdcc811c9"",""attention"; ensemble representation; feature search; numerosity;" visual search"",""attention"; color vision; female; human; male; pattern recognition; physiology; reaction time; statistical distribution; Attention; Color Perception; Female; Humans; Male; Pattern Recognition, Visual; Reaction Time;" Statistical Distributions""";;;;;;;;;;;;;;;;;;;;;;;;;
15;"Bodrova T., Kostushev D., Antonova E., Gnatenko D., Bocharova M., Lopukhin Y., Paltsev M., Suchkov S.,""55811348000";56667610700;55811421300;57202626844;55811540800;55966313500;7006008692;7003717203;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890364186&doi=10.15690%2fvramn.v68i1.539&partnerID=40&md5=99155e81b56e4f555174bb7e523cf877"",""Bioinformatics"; Genomics; Metabolomics; Preclinical diagnostics; Prediction; Prevention;" Proteomics"",""article"; biology; genomics; human; methodology; molecular diagnosis; mutation; personalized medicine; preventive medicine; proteomics; Computational Biology; Genomics; Humans; Individualized Medicine; Molecular Diagnostic Techniques; Mutation; Preventive Medicine;" Proteomics""";;;;;;;;;;;;;;;
