;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Polukhina E., Strelnikova A.,""57016670000";57195125526;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951281008&partnerID=40&md5=328ed748798eb8b016a364dd0dffccac"",""Commodity"; Consumption; Cultural studies; Gift-exchange; Mixed of online and offline methods; Mobility of domestic items; Nethnography; Online communities;" Social solidarity"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lazareva O.,""55311648900";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983448720&doi=10.1186%2fs40176-015-0044-9&partnerID=40&md5=7df93ad85c337ebca93d63020b739101"",""J61, J31, J64a"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Shirokanova A.,""36683200600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948985960&doi=10.1177%2f0037768615601980&partnerID=40&md5=4da8d86cbb77021ae11c47d6822f5305"",""Islam"; Multilevel analysis; Protestantism; Work ethic;" World Values Survey"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Mozias P.M.,""57196746604";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032900946&partnerID=40&md5=1492f88347cd14bbad12fdd115025b20"",""""""New normality"""""; China; Economic growth; Financial markets; Inflation; Investment platforms; Real estate;" Shadow banking"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Makarov I.A., Sokolova A.K., Stepanov I.A.,""57169907200";57200253291;57169933200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960848674&partnerID=40&md5=d3f2fef6286a0528146a7205f1e34466"",""Arctic"; International shipping; International trade routes; Northern Sea Route;" Russia's arctic zone"",""cargo handling"; cost; international trade; port operation; port trade; shipping; transportation economics; Arctic; Atlantic Ocean; North Sea;" Russian Federation""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Yudkevich M., Altbach P.G., Rumbley L.E.,""25924090500";16418407500;55611698800;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954401151&doi=10.1007%2fs11125-015-9365-y&partnerID=40&md5=3f1bdb4c3669f5886642271f345ee07d"",""Excellence"; Global ranking; Higher education;" International"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Rotondi V., Stanca L.,""56901291900";6602267755;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944028752&doi=10.1016%2fj.joep.2015.09.008&partnerID=40&md5=9fc3ce3d41926c875b9b3f672ce18142"",""Bribery"; Corruption; Particularism;" Universalism"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Lucento A.,""56993956800";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949214675&partnerID=40&md5=ab3d6cf1ae35c7bc8d87dd5edbe87e0e"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Khlevniuk O.,""40061091300";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949204869&partnerID=40&md5=99b6d4ff3a85eced3637128a32fdc6f1"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Maksimenkova O., Alexey N.,""57191339634";55329014600;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964744625&doi=10.1109%2fICL.2015.7318104&partnerID=40&md5=b39e880908b5775a1bfedc0bdd2e4341"",""blended learning"; collaborative learning; CSCL; education; SE; SEE;" software engineering"",""Application programs"; Computer supported cooperative work; Education; Life cycle; Selenium; Software engineering; Teaching; Web services; Application lifecycle managements; Blended learning; Collaborative learning; Collaborative services; Collaborative Web services; Computer Supported Collaborative Learning; CSCL; Professional software;" Engineering education""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Glushchenko I.V.,""57190170933";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978062893&doi=10.1080%2f10609393.2016.1187005&partnerID=40&md5=ecf94774978252bbbaac0e5af72c5386"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Kasprzhak A.G., Filinov N.B., Bayburin R.F., Isaeva N.V., Bysik N.V.,""57015325300";6506943618;57190172580;57190168105;57015407700;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978039262&doi=10.1080%2f10609393.2015.1187007&partnerID=40&md5=1413358fc1a50c6383ecabbebe29e87f"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Viktorovna Antonova N.,""57008976600";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950326631&doi=10.1177%2f0973258615614426&partnerID=40&md5=fa6bfab33c9f63c494b695dfd54d206d"",""active life position"; Advertising; interactivity; personal involvement; proactive position; psychological effectiveness;" trust"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
