;Область, Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gambarato R.P., Medvedev S.A.,""56039359500";57098823200;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016349756&doi=10.4018%2f978-1-5225-1862-4.ch003&partnerID=40&md5=d9af3345ac659867b87bf8e1b655bdd9"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Gasparyan D.,""24176741200";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961112558&doi=10.1007%2fs12124-016-9344-8&partnerID=40&md5=024b7ee4703bef235537deb6fa3b726a"",""Artificial intelligence"; Cognitive linguistics; Meaning; Post-structural semantics; Post-structuralism; Reference; Semantics; Semiosis; Sense; Structural linguistics; Structural semantics; Structuralism;" Syntaxes"",""artificial intelligence"; brain; human; human experiment; machine; philosophy; semantics; theoretical model; artificial intelligence; psychological theory; standards; Artificial Intelligence; Humans; Psychological Theory;" Semantics""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Klimova S.,""57195533398";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001960812&doi=10.1007%2fs11212-016-9268-3&partnerID=40&md5=220891850c194fa5bd8ce87934190fce"",""Crisis and transition"; Logomythia; Marxist aesthetics; Myth;" Spiritual-practical consciousness"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Travkin P., Sharunina A.,""57191883754";57191879674;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994460862&doi=10.1111%2fijtd.12088&partnerID=40&md5=1fb75e04ee2cb4ab7033507ec9f59893"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Permyakova T., Utkina T.,""56548692800";57193517855;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014561739&doi=10.1515%2frela-2016-0021&partnerID=40&md5=82f6263de4f97e48d8d05f4f7adbd958"",""academic discourse"; cognitive linguistics; conceptual metaphor models; Economics; English for academic purposes; English for specific purposes; L2 writing; metaphor; metaphoric competence;" professional discourse"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Shapovalova Y.,""56845472000";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990841786&doi=10.1007%2fs11266-016-9796-y&partnerID=40&md5=6567ce23d9f2f1b2a7ad2b22a2485fab"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Ranci C.,""14320371400";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990855906&doi=10.1007%2fs11266-016-9797-x&partnerID=40&md5=0900bfefde5a3bdbc674f9c6744fec56"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Muravyev A., Oshchepkov A.,""24381928400";54080231400;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983250227&doi=10.1186%2fs40175-016-0051-0&partnerID=40&md5=36c9af49a34937762c08cdf34686f1a2"",""Informal employment"; Minimum wages; Russia;" Unemployment"",";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Archambault E.,""6506641985";",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990860409&doi=10.1007%2fs11266-016-9794-0&partnerID=40&md5=f6adb7b139a73204905ec4fd044e95aa"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;"Stoeckl K., Michailowski A.,""36601334000";57191966224;",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995390649&doi=10.1007%2fs11212-016-9269-2&partnerID=40&md5=86cee28966cd10a293e28fa079ae1b1c"",,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
