Авторы,Идентификаторы авторов,Ссылка,Ключевые слова автора,Ключевые слова указателя
"Demirović D., Radovanović M., Petrović M.D., Cimbaljević M., Vuksanović N., Vuković D.B.","57193745282;36857692600;55969420600;57194635648;57200119794;57031563800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039776635&doi=10.3390%2fsu10010070&partnerID=40&md5=7e3e1ff702027207aa789023a36932bc","Mountain; Residents' perception; Social-ecological system; Sustainability; Sustainable ecology; Sustainable tourism; Tourism impact; Tourism policies","anthropogenic effect; ecotourism; mountain region; perception; policy development; property rights; seasonality; stakeholder; sustainability; tourism development; tourism economics; tourist destination; traditional knowledge; Kopaonik; Serbia"
"Tamm M.V., Polovnikov K.","7006098030;57196372982;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045348110&doi=10.1142%2f9789813232105_0003&partnerID=40&md5=b37b81cd76768231513187ec8caf74f5",,
"Petrović M.D., Vujko A., Gajić T., Vuković D.B., Radovanović M., Jovanović J.M., Vuković N.","55969420600;56035659800;54419977600;57031563800;36857692600;57194089723;57110136500;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039776102&doi=10.3390%2fsu10010054&partnerID=40&md5=382fae6c1fe6cf220135202e3dc0d5cb","Competitiveness; Countryside's development; Rural economy; Sustainable tourism; Transitional societies","comparative study; competition (economics); competitiveness; future prospect; participatory approach; research work; resident population; rural development; rural landscape; sustainable development; tourist destination; Serbia; Slovenia"
"Storchevoy M.","57200731235;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042276476&doi=10.1007%2f978-3-319-69113-8&partnerID=40&md5=102f405bce5edd08b62aba283eb10e1c",,
"Safin A., Burnaev E.","57200308134;15762040400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040741526&partnerID=40&md5=46460545a2f9edc24018a629dffe1c51","Anomaly detection; Conformal prediction; Expected similarity; Kernel methods; Time series",
"Lipasova A.","57193121706;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039839258&doi=10.17323%2f727-0634-2017-15-4-629-642&partnerID=40&md5=066e2ee4b37852c6c070989c9e538b23","Educational strategies; Fatherhood; Gender contract; Parenthood",
"Polukhina E.","57016670000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039855272&doi=10.17323%2f727-0634-2017-15-4-589-602&partnerID=40&md5=1b6d59f9f2227004bc8398df88207d5e","Housing mobility; Housing status; Social mobility; Types of housing",
"Krasheninnikova Y.","57192806351;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039872093&doi=10.17323%2f727-0634-2017-15-4-531-546&partnerID=40&md5=d0d0ffddba8bd95410ad76ebbfb0a22d","Medical commission; Medical-labour examination; Public social insurance; Sick leave; Sickness certificate; Soviet healthcare; Temporary disability examination",
"Yandex A.B., Lempitsky V.","57189662496;22234735100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041915658&doi=10.1109%2fICCV.2017.523&partnerID=40&md5=31b25cc8b3a4b89d3c6b9c9588a441f1",,"Codes (symbols); Computer vision; Encoding (symbols); Coding scheme; Descriptors; High-dimensional; Large datasets; Memory footprint; Multiple codebooks; Quantization errors; Quantization schemes; Nearest neighbor search"
"Aminev D.A., Kozyrev D.V., Zhurkov A.P., Romanov A.Y., Romanova I.I.","56818934800;26040704400;57201717711;55372881400;55427298100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045911940&doi=10.1109%2fDynamics.2017.8239426&partnerID=40&md5=72ac1d30a21e97184c05a4287c699aa5",,"Automation; Dynamics; Redundancy; Automated control; Automated systems; Constituent elements; Dual circuits; Mathematical apparatus; Technical diagnosis; Technical diagnostics; Radio direction finding systems"
"Osokin A., Chessel A., Salas R.E.C., Vaggi F.","57200736313;14035217500;56117546500;48261428700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041915494&doi=10.1109%2fICCV.2017.245&partnerID=40&md5=a27ed959e73f745c2949125ca84d3027",,"Biology; Biosynthesis; Computer vision; Fluorescence; Fluorescence microscopy; Proteins; Adversarial networks; Biological applications; Biological functions; Fluorescent protein; Multichannel images; Novel applications; Protein localization; Synthesized images; Image processing"
"Spencer S.B., Skalaban I.A.","57200806353;56556983100;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038828364&doi=10.1007%2fs11266-017-9925-2&partnerID=40&md5=da8a58908ead2f4d6e50ca691ef3e974","Informal associations; Nonprofit organizations; Organizational culture; Qualitative research; Russian Federation",
"Kholodilin K.A., Michelsen C., Ulbricht D.","10044305900;35766893300;56633169700;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038620943&doi=10.1007%2fs00181-017-1347-x&partnerID=40&md5=f242dfbf0dc884298d5a716b2883719e","Explosive root; German cities; Housing prices; Speculative bubble",
"Petrosyants K.O., Dvornikov O.V., Prokopenko N.N., Kozhukhov M.V.","6602577918;12039472200;55233056200;54913927200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045846870&doi=10.1109%2fTHERMINIC.2017.8233824&partnerID=40&md5=dd7bb60dc314e6c3f8d9c6aa9e4649d2",,"Cryogenics; Heterojunction bipolar transistors; SPICE; Temperature; Comparison of measurements; Cryogenic temperatures; Low temperatures; SiGe HBTs; Spice model; Si-Ge alloys"
"Mikhaylovskaya A.V., Mosleh A.O., Kotov A.D., Kwame J.S., Pourcelot T., Golovin I.S., Portnoy V.K.","36504555400;57192311969;55356096100;57196034417;57196031377;7006821098;7005646840;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031115090&doi=10.1016%2fj.msea.2017.10.017&partnerID=40&md5=c6be4c8fe3ad98a0895b54d2767cca4b","Dislocation structure; Microsize grain structure; Superplasticity; Titanium alloys","Aluminum; Aluminum alloys; Grain boundaries; Grain boundary sliding; Grain growth; Manganese; Manganese alloys; Microstructure; Strain hardening; Superplastic deformation; Superplasticity; Ternary alloys; Titanium; Titanium alloys; Constant strain rate; Constant strain rate tests; Deformation mechanism; Dislocation activity; Dislocation structures; Dynamic grain growth; Micro-structure evolutions; Near alpha titanium alloys; Strain rate"
"Cherkasova V., Rasadi D.","57189233075;57201697817;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045843509&doi=10.1515%2frevecp-2017-0023&partnerID=40&md5=6d6170988f48169e3c7dbf87f48ef2b2","Earnings quality; financial reporting quality; investment efficiency; overinvestment; underinvestment",
"Nichols J.","7201486156;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038393467&doi=10.1515%2flingty-2017-0010&partnerID=40&md5=89a4382538b6d7527bf42a4fa4795a94","Areal typology; Grammaticalization; Inflection; Linguistic geography; Morphology; Person; Personal pronouns; Population history; Sampling; Syntax",
"Baranov A., Burnaev E., Derkach D., Filatov A., Klyuchnikov N., Lantwin O., Ratnikov F., Ustyuzhanin A., Zaitsev A.","56045705600;15762040400;32667516700;57200106826;57200113111;57194596352;35227881400;57202562674;57191222878;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039747096&doi=10.1088%2f1742-6596%2f934%2f1%2f012050&partnerID=40&md5=c65dcfa9c0a885fab5c693a61f25a9cf",,"Astrophysics; Ships; Spectrometers; Background level; Beam dump; Critical challenges; Interacting particles; Orders of magnitude; Ship experiments; The standard model; Charged particles"
"Pino M., Kravtsov V.E., Altshuler B.L., Ioffe L.B.","56956536000;7102485510;7005569318;7004567667;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039441558&doi=10.1103%2fPhysRevB.96.214205&partnerID=40&md5=6ce66895db544ed4ff651884087918fe",,
"Sonner M., Tikhonov K.S., Mirlin A.D.","57200089495;57193798658;57083755200;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039415170&doi=10.1103%2fPhysRevB.96.214204&partnerID=40&md5=b794e1a15ec77fdadf28426aff96ff7c",,
"SLAVNOV S.","7801642454;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042226406&doi=10.1017%2fS0960129517000251&partnerID=40&md5=015a0dc60d473ffa7558e4e61668668e",,"Banach spaces; Linear algebra; Vector spaces; Bounded linear maps; Coherence spaces; Exponentials; Finite sequence; Linear logic; Morphisms; Sequence space; Computer circuits"
"Buzmakov A., Kuznetsov S.O., Napoli A.","56018681500;7202573378;7005873419;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044005464&doi=10.1109%2fICDM.2017.88&partnerID=40&md5=4d79f52e53452734871eb868f2cca352","Formal Concept Analysis; Graph mining; Subsample stability","Data mining; Graph theory; Scalability; Anti-monotonicity; Efficient minings; Graph mining; Graph patterns; Scalable methods; Stability and robustness; Formal concept analysis"
"Bedrikovetsky P., You Z., Badalyan A., Osipov Y., Kuzmina L.","57203216627;7102207937;36156914400;7004957058;56104145400;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027586371&doi=10.1016%2fj.cej.2017.08.031&partnerID=40&md5=c4f00527ed99e0f7cc6b373e6ee49d53","Colloidal-suspension transport; Downscaling; Exact solution; Pore size distribution; Porous media; Straining",
"Kluge J.N., Libman A.","57190021941;35763477800;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038102641&doi=10.1057%2fs41294-017-0042-4&partnerID=40&md5=e13841394759d3c083fd22a7ab3e77b1","Bureaucracy; Corruption; Development policy; Informal economy",
"Mosleh A., Mikhaylovskaya A., Kotov A., Pourcelot T., Aksenov S., Kwame J., Portnoy V.","57192311969;36504555400;55356096100;57196031377;15080694300;57196034417;7005646840;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038438509&doi=10.3390%2fmet7120568&partnerID=40&md5=166779ddb56754b90aa4c900e796dcfa","Activation energy; Arrhenius-type constitutive equation; Artificial neural network; Constitutive modelling; Superplasticity; Titanium alloys",
"Avetisov V., Gorsky A., Nechaev S., Valba O.","35560504700;56243552200;7006930329;37100734000;","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039929245&doi=10.1103%2fPhysRevE.96.062309&partnerID=40&md5=0cee51fb41468a8227076f7bfc867ec6",,"Color; Eigenvalues and eigenfunctions; Laplace transforms; Matrix algebra; Algebraic connectivity; Critical behavior; Laplacian matrices; Random graphs; Random network; Spectral gap; Spectral properties; Vertex degree; Graph theory"
